linha	nome_linha	direction_id	headsign_comum	origem_stop_name	origem_lat	origem_lon	destino_stop_name	destino_lat	destino_lon	viagens_contadas	route_id	origem_stop_id	destino_stop_id
533	Castelo / Shopping Del Rey	1	Castelo	Avenida Del Rey 75	-19.88989748	-43.96925841	Avenida Altamiro Avelino Soares 1215	-19.87900977	-44.00469498	23	562152	14790363	14791492
535	Trevo Via Braunas / Shopping Del Rey	0	Shopping Del Rey	Rua Sete 57	-19.8247651	-44.01840195	Avenida Del Rey 75	-19.88989748	-43.96925841	23	562237	14792432	14790363
535	Trevo Via Braunas / Shopping Del Rey	1	Trevo	Avenida Del Rey 75	-19.88989748	-43.96925841	Rua Sete 57	-19.8247651	-44.01840195	23	562237	14790363	14792432
607	Estação Vilarinho / Esplendor	0	Esplendor	Rua Sara Queren Teixeira 232	-19.77621196	-43.99021809	Rua Sara Queren Teixeira 232	-19.77621196	-43.99021809	365	562167	14789931	14789931
607	Estação Vilarinho / Esplendor	1	Esplendor (Partidas Da Estacao Vilarinho)	Estação Vilarinho - Plataforma B18	-19.8217897	-43.94814948	Estação Vilarinho - Plataforma B18	-19.8217897	-43.94814948	93	562167	15282967	15282967
608	Estação Venda Nova / Nova Pampulha	0	Venda Nova	Estação Venda Nova - Plataforma C1	-19.80914501	-43.96996689	Estação Venda Nova - Plataforma C1	-19.80914501	-43.96996689	297	561801	15328814	15328814
609	Serra Verde/Santa Monica	0	Serra Verde	Rua Vera Goncalves Terra 545	-19.79796086	-43.95331268	Rua Vera Goncalves Terra 545	-19.79796086	-43.95331268	267	562084	14791837	14791837
614	Céu Azul A / Estação Pampulha - Via Avenida Portugal	0	Ceu Azul	Rua Elpidio Pereira Pires 56	-19.82101022	-44.00596859	Rua Elpidio Pereira Pires 56	-19.82101022	-44.00596859	447	561872	14786662	14786662
614	Céu Azul A / Estação Pampulha - Via Avenida Portugal	1	Ceu Azul (Noturno)	Estação Pampulha - Plataforma D3	-19.84258852	-43.96671084	Estação Pampulha - Plataforma D3	-19.84258852	-43.96671084	79	561872	15276954	15276954
615	Céu Azul B / Estação Pampulha - Via Garças	0	Ceu Azul	Rua Radialista Geraldo Lara 9	-19.81447933	-44.00248873	Rua Radialista Geraldo Lara 9	-19.81447933	-44.00248873	307	561813	14792058	14792058
615	Céu Azul B / Estação Pampulha - Via Garças	1	Céu Azul (Estação/Bairro/Estação)	Estação Pampulha - Plataforma D2	-19.84246994	-43.96719095	Estação Pampulha - Plataforma D2	-19.84246994	-43.96719095	72	561813	15276953	15276953
616	Estação Pampulha / Ceu Azul C	0	Ceu Azul	Rua Cleide Aparecida 285	-19.81322949	-44.01226694	Rua Cleide Aparecida 285	-19.81322949	-44.01226694	111	561949	14792193	14792193
616	Estação Pampulha / Ceu Azul C	1	Ceu Azul (Partidas Da Estacao Pampulha)	Estação Pampulha - Plataforma D1	-19.84234379	-43.9677113	Estação Pampulha - Plataforma D1	-19.84234379	-43.9677113	206	561949	15276952	15276952
617	Estação Pampulha / Piratininga Via Rio Branco	0	Piratininga	Rua Zelia 227	-19.81471569	-43.99351594	Rua Zelia 227	-19.81471569	-43.99351594	404	562181	14787287	14787287
617	Estação Pampulha / Piratininga Via Rio Branco	1	Piratininga (Piratininga/Estacao Pampulha)	Estação Pampulha - Plataforma A2	-19.84210633	-43.96690345	Rua Zelia 227	-19.81471569	-43.99351594	113	562181	15252284	14787287
618	Estação Pampulha/Rio Branco Via Jardim Leblon	0	Rio Branco	Rua Manoel Augusto De Almeida 60	-19.8178141	-43.98496635	Rua Manoel Augusto De Almeida 60	-19.8178141	-43.98496635	494	561945	14784760	14784760
618	Estação Pampulha/Rio Branco Via Jardim Leblon	1	Rio Branco (Partidas Da Estacao Pampulha)	Estação Pampulha - Plataforma C2	-19.84240563	-43.96686543	Estação Pampulha - Plataforma C2	-19.84240563	-43.96686543	92	561945	15258310	15258310
619	Estação Pampulha/Santa Monica Via Santa Branca	0	Santa Monica	Avenida Francisca Gregory 284	-19.83229063	-43.97705141	Avenida Francisca Gregory 284	-19.83229063	-43.97705141	266	561846	14784180	14784180
619	Estação Pampulha/Santa Monica Via Santa Branca	1	Santa Monica (Partidas da Estacao Pampulha)	Estação Pampulha - Plataforma C3	-19.84247375	-43.96658916	Estação Pampulha - Plataforma C3	-19.84247375	-43.96658916	84	561846	15258311	15258311
620	Estação Pampulha / Santa Monica Via Santa Amelia	0	Santa Monica	Rua Newton Pinto De Souza 65	-19.82397988	-43.97554389	Rua Newton Pinto De Souza 65	-19.82397988	-43.97554389	209	561948	14789473	14789473
620	Estação Pampulha / Santa Monica Via Santa Amelia	1	Santa Monica (Partidas Da Estacao Pampulha)	Estação Pampulha - Plataforma E1	-19.84241331	-43.96801506	Estação Pampulha - Plataforma E1	-19.84241331	-43.96801506	52	561948	15276963	15276963
621	Estação Venda Nova / Lagoa	0	Estação Venda Nova	Estação Venda Nova - Plataforma A1	-19.8090747	-43.96973535	Estação Venda Nova - Plataforma A1	-19.8090747	-43.96973535	351	561956	15328769	15328769
622	Estação Venda Nova / Lagoinha	0	Estação Venda Nova	Estação Venda Nova - Plataforma A2	-19.80916555	-43.96964684	Estação Venda Nova - Plataforma A2	-19.80916555	-43.96964684	36	561933	15328770	15328770
623	Estação Venda Nova / Vila Santa Branca	0	Estação Venda Nova	Estação Venda Nova - Plataforma A1	-19.8090747	-43.96973535	Estação Venda Nova - Plataforma A1	-19.8090747	-43.96973535	244	562407	15328769	15328769
624	Estação Venda Nova / Maria Helena A	0	Estação Venda Nova	Estação Venda Nova - Plataforma B1	-19.80910498	-43.96985874	Estação Venda Nova - Plataforma B1	-19.80910498	-43.96985874	311	562304	15328773	15328773
625	Estação Venda Nova / Maria Helena B	0	Estação Venda Nova	Estação Venda Nova - Plataforma B2	-19.8092362	-43.96975145	Estação Venda Nova - Plataforma B2	-19.8092362	-43.96975145	290	561830	15328774	15328774
