route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
562240,37926,104,Estação Lagoinha / Avenida,,3,,012841,FFFFFF
562241,37926,304,Estação Diamante / Jatoba Iv,,3,,012841,FFFFFF
562250,37926,9411,Casa Branca/São José,,3,,012841,FFFFFF
562252,37926,1170,Santa Lucia / Mangabeiras - Via Savassi,,3,,012841,FFFFFF
562253,37926,8208,Santa Cruz / Buritis - Via Avenida Barão,,3,,012841,FFFFFF
562264,37926,740,Tupi / Mirante,,3,,012841,FFFFFF
562271,37926,6031,Cidade Administrativa/Centro,,3,,BED000,000000
562272,37926,708,Estação São Gabriel / Felicidade,,3,,012841,FFFFFF
562284,37926,809,Estação São Gabriel / Belmonte,,3,,012841,FFFFFF
562288,37926,826,Montes Claros / Rua São Romulo,,3,,012841,FFFFFF
562290,37926,2033,Betania / Centro,,3,,012841,FFFFFF
562294,37926,8150,União / Serra - Via Floresta / Hospitais,,3,,012841,FFFFFF
562302,37926,810,Estação São Gabriel/Parque Belmonte via Dom Silverio,,3,,012841,FFFFFF
562303,37926,4150,Shopping Del Rey/Bh Shopping,,3,,012841,FFFFFF
562304,37926,624,Estação Venda Nova / Maria Helena A,,3,,012841,FFFFFF
562310,37926,8207,Maria Goretti/Estrela Dalva,,3,,012841,FFFFFF
562313,37926,3501B,Ouro Preto 3a Gleba/Bairro Ipe Via Jardim Montanhes,,3,,012841,FFFFFF
562323,37926,638,Estação Vilarinho/Minas Caixa,,3,,012841,FFFFFF
562327,37926,735,Estação Vilarinho/Juliana A,,3,,012841,FFFFFF
562331,37926,4106,São Cristovao / Santo Antônio - Via Savassi,,3,,012841,FFFFFF
562337,37926,1505R,Conjunto Felicidade / Centro,,3,,012841,FFFFFF
562341,37926,636,Estação Vilarinho / Jardim Europa - Via Cenáculo,,3,,012841,FFFFFF
562347,37926,8350,Estação São Gabriel/Estação Barreiro,,3,,012841,FFFFFF
562349,37926,205,Metro Calafate/Buritis,,3,,012841,FFFFFF
