linha,nome_linha,route_id,tipo_servico,direction_id
8208,Santa Cruz / Buritis - Via Avenida Barão,562253,estruturais,0
8208,Santa Cruz / Buritis - Via Avenida Barão,562253,estruturais,1
8350,Estação São Gabriel/Estação Barreiro,562347,troncais_move,0
8350,Estação São Gabriel/Estação Barreiro,562347,troncais_move,1
8401,Cachoeirinha/São Jose,561901,estruturais,0
8405,Palmares/Bela Vista,561932,estruturais,0
8405,Palmares/Bela Vista,561932,estruturais,1
8501,Maria Goretti / Engenho Nogueira via Ouro Preto,561898,estruturais,0
8501,Maria Goretti / Engenho Nogueira via Ouro Preto,561898,estruturais,1
8550,Estação São Gabriel / Zoológico via Estação Pampulha,562217,troncais_move,0
8551,Estação São Gabriel / Estação UFMG via Anel Rodoviário,561958,troncais_move,0
9030,Castanheiras/Centro,561957,troncais_convencionais,0
9032,Granja de Freitas / Centro - Via Avenida dos Andradas,562035,troncais_convencionais,0
9034,Taquaril/Centro,561983,troncais_convencionais,0
9101,Alto Vera Cruz/São Bento,561916,estruturais,0
9101,Alto Vera Cruz/São Bento,561916,estruturais,1
9103,Santa Tereza/Santo Antônio,562020,estruturais,0
9104,Sagrada Família/Luxemburgo,561885,estruturais,0
9104,Sagrada Família/Luxemburgo,561885,estruturais,1
9105,Nova Vista/Sion,562051,estruturais,0
9105,Nova Vista/Sion,562051,estruturais,1
9106,Sagrada Família/Serra,561790,estruturais,0
9106,Sagrada Família/Serra,561790,estruturais,1
9201,Baleia/Nova Granada,561888,estruturais,0
9201,Baleia/Nova Granada,561888,estruturais,1
9202,Pompéia/Jardim América,561942,estruturais,0
9204,Santa Efigênia/Estoril,562049,estruturais,0
9204,Santa Efigênia/Estoril,562049,estruturais,1
9205,Nova Vista/Nova Cintra,561889,estruturais,0
9205,Nova Vista/Nova Cintra,561889,estruturais,1
9206,Vera Cruz/Buritis - Via Avenida Raja Gabáglia,562393,estruturais,0
9206,Vera Cruz/Buritis - Via Avenida Raja Gabáglia,562393,estruturais,1
9208,Taquaril/Conjunto Santa Maria,561914,estruturais,0
9208,Taquaril/Conjunto Santa Maria,561914,estruturais,1
9209,Sagrada Família/Gutierrez,562064,estruturais,0
9209,Sagrada Família/Gutierrez,562064,estruturais,1
9210,Santa Teresa/Prado,562034,estruturais,0
9210,Santa Teresa/Prado,562034,estruturais,1
9211,Caetano Furquim/Havaí,561788,estruturais,0
9211,Caetano Furquim/Havaí,561788,estruturais,1
9250,Caetano Furquim/Nova Cintra Via Savassi,561810,estruturais,0
9250,Caetano Furquim/Nova Cintra Via Savassi,561810,estruturais,1
9402,Santa Inês/Santo André,562106,estruturais,0
9402,Santa Inês/Santo André,562106,estruturais,1
9403,Paraiso/Caiçara,561961,estruturais,0
9403,Paraiso/Caiçara,561961,estruturais,1
9404,São Lucas/Nova Esperança,562012,estruturais,0
9404,São Lucas/Nova Esperança,562012,estruturais,1
9405,Instituto Agronômico/Monsenhor Messias,562047,estruturais,0
9405,Instituto Agronômico/Monsenhor Messias,562047,estruturais,1
9407,Alto Vera Cruz/Dom Bosco,561936,estruturais,0
9407,Alto Vera Cruz/Dom Bosco,561936,estruturais,1
9408,Santa Efigênia/Padre Eustáquio,561794,estruturais,0
9408,Santa Efigênia/Padre Eustáquio,561794,estruturais,1
9410,Sagrada Família/Coração Eucarístico,561918,estruturais,0
9410,Sagrada Família/Coração Eucarístico,561918,estruturais,1
