stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
14784211,,Avenida Presidente Antonio Carlos 2651,,-19.88986049,-43.94980804,,,0,14787857,,0,2A
14784212,,Rua Fernao Dias 448,,-19.89807434,-43.89148368,,,0,,,0,
14784213,,Rua Elias Saliba 322,,-19.90537449,-44.01614105,,,0,,,0,
14784214,,Avenida Brasil 800,,-19.92706556,-43.92705692,,,0,,,0,
14784215,,"Rua Brusque, 296",,-19.83458525,-44.02866245,,,0,,,0,
14784216,,Rua Manoel Macedo 248,,-19.9014281,-43.94485786,,,0,,,0,
14784217,,Rua Itaguai 390,,-19.89650076,-43.97086746,,,0,,,0,
14784218,,Rua Soares Nogueira 636,,-19.94100601,-44.01918459,,,0,,,0,
14784219,,Rua Jornalista Abrahao Sadi 206,,-19.84906028,-43.90047983,,,0,,,0,
14784220,,Rua Osmario Soares 531,,-19.91680948,-44.00263791,,,0,,,0,
14784221,,Rua Heracles 224,,-19.80780043,-43.96381024,,,0,,,0,
14784222,,Avenida Senador Levindo Coelho 2520,,-20.00900001,-44.03402065,,,0,,,0,
14784223,,Rua Paulo Piedade Campos 797,,-19.95883548,-43.96752591,,,0,,,0,
14784224,,Avenida Fazenda Velha 530,,-19.82889413,-43.92649873,,,0,,,0,
14784225,,Rua Barbosa De Rezende 180,,-19.9389628,-43.9648243,,,0,,,0,
14784226,,Rua Domingos Costa Rezende 385,,-19.84842996,-44.00441379,,,0,,,0,
14784227,,Rua Hematita 551,,-19.90929722,-43.9710482,,,0,,,0,
14784228,,Rua Passa Tempo 93,,-19.94630842,-43.92892796,,,0,,,0,
14784229,,Avenida Coronel Oscar Paschoal 2,,-19.86346373,-43.97419237,,,0,,,0,
14784230,,Ala Ezequiel Dias 465,,-19.92648446,-43.93231273,,,0,,,0,
14784231,,Rua Pedro Lessa 400,,-19.90439826,-43.95006172,,,0,,,0,
14784232,,Rua Desembargador Alonso Starling 99,,-19.94275276,-44.01713386,,,0,,,0,
14784233,,Rua Eros 40,,-19.88078468,-43.89998825,,,0,,,0,
14784234,,Rua Salgueiro 302,,-19.88807673,-43.93151634,,,0,,,0,
14784235,,Rua Dos Industriarios 556,,-19.96470637,-43.99934117,,,0,,,0,
14784236,,Avenida Nelio Cerqueira 851,,-19.99181187,-44.03941647,,,0,,,0,
14784237,,Rua Doutor Fernando De Melo Viana 120,,-19.86786233,-43.95888089,,,0,,,0,
14784238,,Rua Platano 301,,-19.95832465,-43.97934503,,,0,,,0,
14784239,,Rua Julio Cezar 245,,-19.8538898,-43.89713141,,,0,,,0,
14784240,,Avenida Olegario Maciel 2277,,-19.93399912,-43.94809105,,,0,,,0,
14784241,,Rua Doutor Joao Miranda 136,,-19.86125736,-43.93608892,,,0,,,0,
14784242,,Rua Coluna Do Meio 310,,-20.00301812,-44.03337742,,,0,,,0,
14784243,,Avenida Afonso Vaz De Melo 1535,,-19.97976297,-44.02810375,,,0,,,0,
14784244,,Rua Dom Cabral 576,,-19.84378443,-43.90221426,,,0,,,0,
14784245,,Avenida Olavo Brasil Junior 27,,-19.83393761,-44.0174471,,,0,,,0,
